time,Fp1,Fp2,C3,C4
0.699219,0.475793,0.529748,0.460436,0.196806
0.703125,0.715143,0.724699,0.590188,0.148802
0.707031,0.749889,0.778617,0.482660,0.085490
0.710938,0.876625,0.831319,0.342908,0.005804
0.714844,1.063525,0.645945,0.329244,-0.274014
0.718750,0.854249,0.482416,0.133933,-0.532538
0.722656,0.942816,0.490137,-0.099855,-0.596322
0.726563,0.737960,0.274654,-0.285430,-0.811171
0.730469,0.645818,0.027562,-0.557965,-0.897532
0.734375,0.461993,-0.150888,-0.646047,-0.986383
0.738281,0.358778,-0.210409,-0.748119,-1.050493
0.742188,0.296826,-0.317491,-0.850270,-1.035163
0.746094,0.022161,-0.452284,-0.786169,-1.036497
0.750000,0.066265,-0.582066,-0.865727,-1.041175
0.753906,-0.042816,-0.664075,-0.845054,-0.976356
0.757813,-0.216666,-0.736252,-0.957024,-1.064648
0.761719,-0.280462,-0.781195,-1.152605,-0.987413
0.765625,-0.440765,-0.985471,-1.202161,-1.128154
0.769531,-0.674090,-0.891131,-1.154411,-1.003155
0.773438,-0.666406,-1.130588,-1.083025,-0.881889
0.777344,-0.951452,-1.072648,-1.129424,-0.827703
0.781250,-0.887053,-1.058943,-0.927773,-0.683554
0.785156,-0.917391,-0.921238,-0.853947,-0.486816
0.789063,-0.965069,-0.800655,-0.659394,-0.103416
0.792969,-0.898098,-0.797555,-0.498373,0.043570
0.796875,-0.699651,-0.629394,-0.162049,0.065710
0.800781,-0.548640,-0.294959,-0.149166,0.302568
0.804688,-0.456249,-0.137127,0.004776,0.166665
0.808594,-0.242731,-0.192903,-0.015681,0.245609
0.812500,-0.079224,-0.036798,0.011156,0.164785
0.816406,-0.009498,-0.055304,0.026326,-0.035358
0.820313,-0.138501,-0.008068,-0.102384,-0.005247
0.824219,-0.060310,-0.123692,-0.249074,-0.172401
0.828125,-0.065897,-0.217095,-0.207152,-0.180097
0.832031,-0.150076,-0.355838,-0.273619,-0.211183
0.835938,-0.247547,-0.255728,-0.362730,-0.233887
0.839844,-0.229726,-0.296415,-0.374741,-0.259021
0.843750,-0.317831,-0.279028,-0.331322,-0.187147
0.847656,-0.350577,-0.410473,-0.378464,-0.223015
0.851563,-0.250319,-0.275634,-0.320160,-0.089105
0.855469,-0.223905,-0.326022,-0.257013,-0.133775
0.859375,-0.276308,-0.382947,-0.285135,-0.271804
0.863281,-0.396721,-0.373968,-0.468279,-0.306104
0.867188,-0.473090,-0.589254,-0.453259,-0.172771
0.871094,-0.490685,-0.485602,-0.463888,-0.252478
0.875000,-0.532476,-0.640819,-0.441664,-0.128447
0.878906,-0.705358,-0.706394,-0.355686,-0.088956
0.882813,-0.752252,-0.668095,-0.314795,0.033887
0.886719,-0.678838,-0.521558,-0.191133,0.132762
0.890625,-0.547976,-0.324173,-0.029344,0.355221
0.894531,-0.472794,-0.199932,-0.008371,0.399408
0.898438,-0.448022,-0.048234,0.258477,0.522526
0.902344,-0.207167,0.079876,0.234940,0.356318
0.906250,-0.125005,0.122797,0.264148,0.358924
0.910156,0.049052,0.218655,0.263611,0.287268
0.914063,0.118988,0.151775,0.186549,0.133026
0.917969,-0.064983,0.015290,-0.048445,0.096115
0.921875,0.030554,-0.156991,-0.150650,-0.176182
0.925781,-0.106378,-0.142011,-0.262312,-0.253748
0.929688,-0.261714,-0.366731,-0.218438,-0.217692
0.933594,-0.315708,-0.428975,-0.236797,-0.123089
0.937500,-0.398683,-0.478356,-0.384925,-0.144508
0.941406,-0.579743,-0.397759,-0.344422,-0.056383
0.945313,-0.520538,-0.559211,-0.250872,0.019614
0.949219,-0.483282,-0.513667,-0.277229,-0.073849
0.953125,-0.566714,-0.553403,-0.196435,0.140366
0.957031,-0.710282,-0.426571,-0.212624,0.015610
0.960938,-0.562980,-0.427126,-0.111596,0.075699
0.964844,-0.721987,-0.539282,-0.234941,0.262699
0.968750,-0.763540,-0.400249,-0.137516,0.249879
0.972656,-0.734775,-0.524157,-0.102292,0.458398
0.976563,-0.868532,-0.451412,-0.002814,0.470052
0.980469,-0.884000,-0.279605,0.265594,0.583816
0.984375,-0.694071,-0.136919,0.434999,0.945492
0.988281,-0.615393,0.025570,0.518308,0.991424
0.992188,-0.387725,0.099559,0.842067,1.230093
0.996094,-0.318169,0.493097,0.951387,1.341049
1.000000,-0.015544,0.659365,1.122461,1.285816
1.003906,0.169360,0.921984,1.278293,1.324945
1.007813,0.514735,0.916320,1.202088,1.157657
1.011719,0.655275,1.111040,1.328916,1.041168
1.015625,0.660548,1.003813,1.093728,1.001056
1.019531,0.765737,1.016107,1.062867,0.709972
1.023438,0.704426,0.945561,1.000442,0.663259
1.027344,0.818768,0.825725,0.719081,0.407914
1.031250,0.666437,0.873921,0.572577,0.320794
1.035156,0.596103,0.669334,0.505114,0.238553
1.039063,0.572810,0.567559,0.582342,0.246317
1.042969,0.705776,0.516218,0.503892,0.279475
1.046875,0.645163,0.606918,0.332380,0.115103
1.050781,0.616147,0.624820,0.442247,0.111849
1.054688,0.645989,0.411192,0.242995,0.033975
1.058594,0.531480,0.491019,0.105441,-0.035471
1.062500,0.464684,0.325588,0.156850,-0.146211
1.066406,0.381364,0.195558,0.070878,-0.143132
1.070313,0.236212,0.012221,0.015041,-0.244902
1.074219,0.192203,0.102509,-0.142919,-0.080737
1.078125,0.078692,0.023286,-0.076915,-0.016866
1.082031,-0.082527,-0.023500,-0.041296,-0.054980
1.085938,-0.026649,0.112280,0.087645,0.102552
1.089844,-0.038446,0.094511,0.202968,0.258770
1.093750,0.137894,0.198013,0.421040,0.481172
1.097656,0.231341,0.347547,0.407596,0.477661
1.101563,0.427735,0.471980,0.657901,0.402348
1.105469,0.406329,0.556264,0.604654,0.458141
1.109375,0.600624,0.600699,0.658103,0.397758
1.113281,0.615132,0.746597,0.555383,0.170874
1.117188,0.598775,0.649213,0.492817,0.093271
1.121094,0.632373,0.511077,0.256766,-0.045202
1.125000,0.679158,0.538914,0.128134,-0.167998
1.128906,0.611136,0.392094,0.192837,-0.130109
1.132813,0.409113,0.178053,-0.025553,-0.178670
1.136719,0.383601,0.226802,-0.025081,-0.161877
1.140625,0.394827,0.152801,-0.020676,-0.143686
1.144531,0.356781,0.230970,-0.025841,-0.196514
1.148438,0.226839,0.115096,0.010652,-0.205981
1.152344,0.205493,0.108339,0.021007,-0.109615
1.156250,0.247715,0.109948,-0.045735,-0.139217
1.160156,0.373546,0.183415,0.047017,-0.184257
1.164063,0.298098,0.137294,-0.024225,-0.155189
1.167969,0.295778,-0.013957,-0.024384,-0.198291
1.171875,0.077169,0.100614,-0.063671,-0.253879
1.175781,0.034352,0.031164,0.024026,-0.157597
1.179688,0.103635,0.076612,-0.060888,-0.001067
1.183594,0.033784,-0.009612,-0.026349,0.143692
1.187500,0.226938,0.127008,0.101981,0.126856
1.191406,0.156219,0.357671,0.403404,0.266304
1.195313,0.339808,0.411725,0.485503,0.214541
1.199219,0.593070,0.566203,0.536062,0.385909
1.203125,0.801361,0.606406,0.482765,0.181902
1.207031,0.924286,0.716098,0.439534,0.066546
1.210938,0.909838,0.796690,0.482794,-0.011405
1.214844,0.943101,0.640180,0.235087,-0.288752
1.218750,0.889732,0.614971,0.001260,-0.540034
1.222656,0.938209,0.423771,-0.185999,-0.717902
1.226563,0.757260,0.209535,-0.218389,-0.773777
1.230469,0.610160,0.003287,-0.460921,-1.010617
1.234375,0.494302,-0.090205,-0.607097,-1.022011
1.238281,0.240031,-0.208471,-0.786722,-1.008296
1.242188,0.127388,-0.387544,-0.741998,-1.123977
1.246094,0.081852,-0.457360,-0.895574,-1.022288
1.250000,0.003956,-0.544414,-0.982891,-1.081039
1.253906,-0.139997,-0.675046,-0.887105,-1.149049
1.257813,-0.144701,-0.718384,-0.903781,-1.132110
1.261719,-0.350364,-0.875470,-1.133144,-1.077937
1.265625,-0.372509,-0.806363,-1.121689,-1.110204
1.269531,-0.512132,-1.060271,-1.034049,-1.056460
1.273438,-0.771133,-1.161712,-1.205542,-0.955081
1.277344,-0.961652,-1.043540,-1.137123,-0.824282
1.281250,-0.864616,-1.001721,-1.025683,-0.541250
1.285156,-0.918278,-1.018453,-0.861259,-0.342720
1.289063,-1.022188,-0.842044,-0.644032,-0.114268
1.292969,-0.934274,-0.710373,-0.408549,-0.055877
1.296875,-0.690869,-0.509497,-0.316893,0.067397
1.300781,-0.553518,-0.358072,-0.029223,0.300461
1.304688,-0.427696,-0.152685,-0.069325,0.326646
1.308594,-0.211010,-0.025413,0.128885,0.222489
1.312500,-0.207913,-0.023950,0.119609,0.057665
1.316406,-0.171720,-0.062442,0.016644,0.082664
1.320313,-0.016814,-0.164359,-0.120875,-0.138550
1.324219,-0.135026,-0.241973,-0.252985,-0.220665
1.328125,-0.058826,-0.143384,-0.268620,-0.289734
1.332031,-0.201699,-0.270100,-0.262504,-0.313708
1.335938,-0.265290,-0.353823,-0.258374,-0.308592
1.339844,-0.196354,-0.427568,-0.404696,-0.220925
1.343750,-0.292174,-0.331190,-0.348000,-0.220628
1.347656,-0.327723,-0.305140,-0.355634,-0.120375
1.351563,-0.298901,-0.291468,-0.300975,-0.089416
1.355469,-0.397759,-0.381564,-0.290329,-0.186170
1.359375,-0.348332,-0.367524,-0.406570,-0.266481
1.363281,-0.331082,-0.505445,-0.370224,-0.168939
1.367188,-0.491029,-0.556695,-0.461140,-0.228137
1.371094,-0.509354,-0.516271,-0.382726,-0.343851
1.375000,-0.582649,-0.634056,-0.358344,-0.107881
1.378906,-0.738851,-0.656764,-0.479805,-0.147439
1.382813,-0.706207,-0.565118,-0.391243,0.096620
1.386719,-0.648738,-0.421535,-0.152175,0.165842
1.390625,-0.601443,-0.461390,0.029297,0.355454
1.394531,-0.568535,-0.175212,0.098230,0.437680
1.398438,-0.369243,-0.027135,0.118670,0.335680
1.402344,-0.209835,0.034330,0.251297,0.477724
1.406250,-0.176947,0.162411,0.198379,0.436357
1.410156,-0.085977,0.191970,0.143813,0.189811
1.414063,0.028309,0.114380,0.080334,0.181898
1.417969,-0.033987,0.109807,0.004183,0.120686
1.421875,-0.024897,-0.070196,-0.116366,-0.171534
1.425781,-0.091546,-0.247090,-0.246561,-0.143319
1.429688,-0.304341,-0.354175,-0.327184,-0.290805
1.433594,-0.258562,-0.407580,-0.360857,-0.147777
1.437500,-0.475991,-0.435656,-0.317010,-0.130850
1.441406,-0.451604,-0.457284,-0.347205,-0.185380
1.445313,-0.612383,-0.516800,-0.287280,-0.126310
1.449219,-0.571264,-0.538401,-0.297619,0.107488
1.453125,-0.528741,-0.445718,-0.317505,0.008849
1.457031,-0.629462,-0.402066,-0.242163,0.032746
1.460938,-0.575053,-0.548385,-0.189571,0.102672
1.464844,-0.615460,-0.495387,-0.206192,0.205227
1.468750,-0.826264,-0.557685,-0.138410,0.255647
1.472656,-0.841485,-0.547364,-0.029045,0.318112
1.476563,-0.802614,-0.410173,0.033983,0.469901
1.480469,-0.860395,-0.265424,0.275266,0.669778
1.484375,-0.738802,-0.146971,0.318704,0.806077
1.488281,-0.684974,-0.088952,0.573574,0.952682
1.492188,-0.370217,0.204208,0.775037,1.087619
1.496094,-0.323346,0.474253,0.923761,1.276370
1.500000,-0.098315,0.647476,1.152028,1.277739
1.503906,0.276354,0.765124,1.259162,1.233002
1.507813,0.422515,0.883400,1.322878,1.227058
1.511719,0.650109,1.097299,1.165247,1.038463
1.515625,0.743103,1.057794,1.093170,0.956971
1.519531,0.890257,1.142873,0.996229,0.721631
1.523438,0.884801,1.045148,0.821049,0.539498
1.527344,0.722164,0.922994,0.768934,0.448713
1.531250,0.716869,0.724187,0.637237,0.386152
1.535156,0.746427,0.664146,0.557638,0.191446
1.539063,0.658793,0.570585,0.482981,0.269455
1.542969,0.579485,0.537225,0.376536,0.270322
1.546875,0.636581,0.495762,0.323971,0.186194
1.550781,0.628057,0.622071,0.253495,0.029597
1.554688,0.470627,0.476271,0.302519,-0.012989
1.558594,0.470237,0.496347,0.142742,-0.109232
1.562500,0.376342,0.329265,0.147464,-0.078525
1.566406,0.298468,0.158143,-0.034735,-0.087848
1.570313,0.196901,0.121308,0.014494,-0.120117
1.574219,0.203738,0.112121,-0.095408,-0.147236
1.578125,0.092963,-0.114855,0.014263,-0.072556
1.582031,-0.114398,-0.081644,-0.062218,0.099137
1.585938,-0.087432,0.027392,0.205541,0.108809
1.589844,0.088936,0.202761,0.323290,0.360112
1.593750,0.070752,0.258193,0.456587,0.331735
1.597656,0.134841,0.309964,0.506249,0.510111
1.601563,0.367755,0.522065,0.515865,0.425878
1.605469,0.429118,0.582597,0.585625,0.353772
1.609375,0.627705,0.761014,0.650104,0.439003
1.613281,0.688164,0.657558,0.623056,0.228353
1.617188,0.625021,0.729566,0.467543,0.196955
1.621094,0.726927,0.538253,0.388800,-0.064924
1.625000,0.603877,0.528981,0.216831,-0.062995
1.628906,0.468093,0.288444,0.007665,-0.234347
1.632813,0.460272,0.260116,0.045128,-0.181475
1.636719,0.304305,0.252430,-0.054448,-0.217351
1.640625,0.289387,0.224054,0.047230,-0.243848
1.644531,0.251780,0.238885,-0.025278,-0.223355
1.648438,0.245973,0.220500,-0.004932,-0.178576
1.652344,0.212872,0.185255,0.065101,-0.108072
1.656250,0.318397,0.155344,0.103311,-0.237151
1.660156,0.340831,0.068703,0.070104,-0.205183
1.664063,0.307505,0.155929,-0.146071,-0.218576
1.667969,0.283030,0.151265,-0.079054,-0.205033
1.671875,0.147903,0.038613,-0.162602,-0.260455
1.675781,0.100675,0.004339,0.000855,-0.143828
1.679688,-0.015849,0.099574,0.042753,-0.030480
1.683594,0.039069,0.057111,0.009779,-0.032733
1.687500,0.205289,0.235904,0.185463,0.226882
1.691406,0.329559,0.231881,0.338596,0.275363
1.695313,0.473450,0.522403,0.452899,0.279640
1.699219,0.571141,0.563346,0.532678,0.224863
1.703125,0.684345,0.680544,0.580673,0.186757
1.707031,0.799750,0.791192,0.547671,0.096174
1.710938,0.881158,0.684308,0.392736,-0.096398
1.714844,0.920217,0.719068,0.210310,-0.354152
1.718750,1.010693,0.574109,0.032068,-0.556787
1.722656,0.817301,0.466841,-0.046609,-0.624979
1.726563,0.743836,0.208777,-0.322063,-0.868186
1.730469,0.544664,-0.021423,-0.406233,-0.842476
1.734375,0.364121,-0.149144,-0.516310,-0.968265
1.738281,0.367956,-0.296233,-0.774112,-1.016721
1.742188,0.160341,-0.364799,-0.787123,-1.064435
1.746094,0.049574,-0.394337,-0.814818,-1.039765
1.750000,-0.061383,-0.530788,-0.905226,-1.024296
1.753906,-0.112820,-0.592124,-1.029875,-1.032116
1.757813,-0.224987,-0.651277,-0.992359,-0.966893
1.761719,-0.273935,-0.862016,-1.103797,-1.048760
1.765625,-0.467977,-0.984406,-1.170518,-1.050678
1.769531,-0.642667,-0.924410,-1.076960,-0.900547
1.773438,-0.758047,-1.072841,-1.095021,-0.830663
1.777344,-0.810381,-1.128400,-1.030817,-0.788194
1.781250,-0.978032,-1.177241,-0.928003,-0.568550
1.785156,-0.880533,-1.070199,-0.885745,-0.372482
1.789063,-0.944674,-0.983041,-0.652763,-0.109933
1.792969,-0.885732,-0.643128,-0.427065,0.025469
1.796875,-0.689997,-0.547191,-0.272252,0.169693
1.800781,-0.563850,-0.322064,-0.084964,0.251916
1.804688,-0.355679,-0.193099,0.109274,0.166736
1.808594,-0.328099,-0.047026,0.007700,0.283968
1.812500,-0.060949,0.021660,0.020694,0.091997
1.816406,-0.121320,0.036827,0.041861,-0.019760
1.820313,-0.091101,-0.101976,-0.143088,-0.012364
1.824219,-0.160209,-0.139239,-0.078978,-0.232790
1.828125,-0.178705,-0.129117,-0.157091,-0.141601
1.832031,-0.207187,-0.347539,-0.209673,-0.236757
1.835938,-0.333573,-0.393994,-0.233068,-0.333713
1.839844,-0.275033,-0.400120,-0.353473,-0.253548
1.843750,-0.325133,-0.353047,-0.380564,-0.200945
1.847656,-0.253783,-0.327076,-0.203851,-0.129063
1.851563,-0.313931,-0.259923,-0.371621,-0.269328
1.855469,-0.248351,-0.280551,-0.354329,-0.140115
1.859375,-0.290831,-0.360414,-0.347969,-0.211895
1.863281,-0.326068,-0.508782,-0.411259,-0.237993
1.867188,-0.497700,-0.581465,-0.408617,-0.345413
1.871094,-0.485814,-0.654018,-0.556248,-0.171979
1.875000,-0.559483,-0.601351,-0.456260,-0.247518
1.878906,-0.758806,-0.562507,-0.412255,-0.064164
1.882813,-0.749865,-0.483733,-0.353738,0.009024
1.886719,-0.727753,-0.480305,-0.161018,0.214124
1.890625,-0.695011,-0.415622,-0.035867,0.285746
1.894531,-0.555084,-0.326518,0.126639,0.393575
1.898438,-0.323175,-0.147425,0.190609,0.499342
1.902344,-0.193503,-0.046376,0.188057,0.408864
1.906250,-0.161185,0.134868,0.291781,0.302656
1.910156,-0.089901,0.227775,0.214926,0.271276
1.914063,0.107282,0.201963,0.093735,0.218084
1.917969,0.069471,0.019888,0.008467,-0.051224
1.921875,-0.055906,-0.153127,-0.059217,-0.083667
1.925781,-0.094086,-0.236867,-0.282394,-0.170786
1.929688,-0.216436,-0.316029,-0.282224,-0.186552
1.933594,-0.267958,-0.401299,-0.360248,-0.201756
1.937500,-0.531423,-0.440363,-0.333123,-0.072424
1.941406,-0.444933,-0.540395,-0.279388,-0.142402
1.945313,-0.548048,-0.496234,-0.355815,0.013554
1.949219,-0.560083,-0.480915,-0.174446,0.066665
1.953125,-0.611253,-0.473349,-0.179110,0.037520
1.957031,-0.594218,-0.472283,-0.282621,0.028624
1.960938,-0.581452,-0.441881,-0.235277,0.210152
1.964844,-0.696147,-0.548963,-0.074661,0.251737
1.968750,-0.753232,-0.439342,-0.052745,0.299836
1.972656,-0.708846,-0.488624,-0.069313,0.353794
1.976563,-0.784558,-0.535961,-0.043613,0.484005
1.980469,-0.702182,-0.315673,0.189543,0.624505
1.984375,-0.694733,-0.152326,0.371906,0.835061
1.988281,-0.708461,-0.054319,0.663199,0.961665
1.992188,-0.527584,0.250773,0.875330,1.275909
1.996094,-0.182340,0.467546,1.034495,1.317444
2.000000,0.060853,0.643771,1.072279,1.383593
2.003906,0.187168,0.862442,1.211905,1.322442
2.007813,0.489817,1.057960,1.215890,1.228702
2.011719,0.650443,0.971405,1.206986,1.186004
